tiers,pos,name,bye,rk,team,sos,ecr_vs_adp,player_id,ppr_rank,avg_draft_pos,pos_diff,ppr_auc_value,avg_auc_value,auc_diff
6,TE,David Njoku,13,42,CLE,2,2,3123076,471,169,-302,0,0,0
6,TE,Albert Okwuegbunam,11,47,DEN,4,0,4035115,1041,169,-872,0,0,0
6,TE,James O'Shaughnessy,7,53,JAC,4,-4,2508079,472,169,-303,0,0,0
6,TE,C.J. Uzomah,10,43,CIN,2,-6,2574576,364,170,-194,0,0,0
6,TE,Foster Moreau,8,52,LV,4,-7,3843945,1031,169,-862,0,0,0
6,TE,Tyler Kroft,6,48,NYJ,3,-8,2582410,466,169,-297,0,0,0
6,TE,Cameron Brate,9,49,TB,3,,17453,1055,169,-886,0,0,0
6,TE,Brevin Jordan,10,50,HOU,4,,4362504,1029,169,-860,0,0,0
6,TE,Maxx Williams,12,54,ARI,2,,2970726,470,169,-301,0,0,0
6,RB,Phillip Lindsay,10,44,HOU,4,5,3052117,170,142,-28,1,1,0
6,RB,Nyheim Hines,14,41,IND,4,3,3916430,133,140,7,2,1,-1
6,RB,Giovani Bernard,9,50,TB,0,3,15826,203,169,-34,0,0,0
6,RB,Jamaal Williams,9,39,DET,0,2,2980453,120,133,13,2,1,-1
6,RB,James White,14,45,NE,3,2,16913,151,159,8,1,0,-1
6,RB,J.D. McKissic,9,47,WAS,3,1,2572861,171,155,-16,1,0,-1
6,RB,Devin Singletary,7,40,BUF,3,0,4040761,134,144,10,2,1,-1
6,RB,Tevin Coleman,6,51,NYJ,4,0,2979477,204,169,-35,0,0,0
6,RB,Tony Pollard,7,43,DAL,2,-1,3916148,176,159,-17,1,0,-1
6,RB,Alexander Mattison,7,48,MIN,3,-2,4048244,177,163,-14,0,0,0
6,RB,Rashaad Penny,9,52,SEA,1,-2,3139925,275,170,-105,0,0,0
6,RB,Sony Michel,11,46,LAR,4,-3,3128721,108,99,-9,3,3,0
6,RB,David Johnson,10,42,HOU,4,-4,2508176,150,146,-4,1,1,0
6,RB,Latavius Murray,6,49,NO,2,-4,15920,269,168,-101,0,0,0
6,QB,Jordan Love,13,43,GB,2,-3,4036378,483,169,-314,0,0,0
6,QB,Marcus Mariota,8,44,LV,3,-5,2576980,476,169,-307,0,0,0
6,QB,Davis Mills,10,39,HOU,4,,4242546,456,170,-286,0,0,0
6,QB,Gardner Minshew II,14,40,PHI,4,,4038524,454,169,-285,0,0,0
6,QB,Taylor Heinicke,9,41,WAS,4,,2565969,484,169,-315,0,0,0
6,QB,Jacob Eason,14,42,IND,4,,4035003,455,170,-285,0,0,0
6,QB,Mitchell Trubisky,7,45,BUF,1,,3039707,480,169,-311,0,0,0
6,K,Matt Ammendola,6,37,NYJ,5,-1,3919602,503,169,-334,0,0,0
6,K,Tucker McCann,13,38,TEN,2,-3,4035098,2562,169,-2393,0,0,0
6,K,Aldrick Rosas,6,41,NO,4,-4,3068939,505,169,-336,0,0,0
6,K,Sam Sloman,7,39,PIT,2,,4038994,2416,169,-2247,0,0,0
6,K,Tristan Vizcaino,7,42,LAC,2,,3127313,319,169,-150,0,0,0
6,K,Quinn Nordin,14,43,NE,4,,4046532,491,169,-322,0,0,0
6,K,Brett Maher,6,47,NO,4,,16486,2236,169,-2067,0,0,0
7,WR,Parris Campbell,14,68,IND,5,16,3121410,154,161,7,1,0,-1
7,WR,Nelson Agholor,14,59,NE,4,12,2971618,194,164,-30,0,0,0
7,WR,Tre'Quan Smith,6,66,NO,4,12,3128451,305,170,-135,0,0,0
7,WR,Gabriel Davis,7,65,BUF,3,11,4243537,212,169,-43,0,0,0
7,WR,Rashod Bateman,8,62,BAL,2,7,4360939,260,170,-90,0,0,0
7,WR,Darius Slayton,10,76,NYG,3,6,3916945,323,170,-153,0,0,0
7,WR,Sterling Shepard,10,61,NYG,3,5,2976592,211,169,-42,0,0,0
7,WR,Jakobi Meyers,14,58,NE,4,4,3916433,148,148,0,1,1,0
7,WR,Rondale Moore,12,63,ARI,2,4,4372485,199,168,-31,0,0,0
7,WR,Christian Kirk,12,72,ARI,2,3,3895856,321,170,-151,0,0,0
7,WR,Amon-Ra St. Brown,9,74,DET,1,3,4374302,214,170,-44,0,0,0
7,WR,Terrace Marshall Jr.,13,71,CAR,5,1,4362630,198,168,-30,0,0,0
7,WR,John Brown,8,73,LV,1,1,16804,2226,170,-2056,0,0,0
7,WR,Elijah Moore,6,56,NYJ,4,0,4372414,157,163,6,1,0,-1
7,WR,Jalen Reagor,14,60,PHI,3,0,4241802,149,151,2,1,0,-1
7,WR,T.Y. Hilton,14,64,IND,5,0,14924,306,159,-147,0,0,0
7,WR,Bryan Edwards,8,70,LV,1,0,4038818,206,170,-36,0,0,0
