id,name,position,team,total_points,projected_total_points,rank
3911853,Adam Trautman,TE,NO,30.6,8.19,57
10453,Ted Ginn Jr.,WR,None,5.5,71.71,186
11923,Stephen Hauschka,K,None,0.0,0.0,45
4527,Jason Witten,TE,OAK,25.4,14.82,61
3917914,Olamide Zaccheaus,WR,ATL,43.4,26.91,113
5526,Eli Manning,QB,NYG,0.0,0.0,81
4242873,Eno Benjamin,RB,ARI,0.0,16.79,172
2574576,C.J. Uzomah,TE,CIN,18.7,68.4,71
3700815,Kendall Hinton,QB,DEN,-2.78,0.0,129
2579604,Phillip Dorsett II,WR,SEA,0.0,56.07,217
2977609,Devin Funchess,WR,GB,0.0,0.0,218
3931397,J.J. Arcega-Whiteside,WR,PHI,18.5,13.3,156
4046522,Devin Asiasi,TE,NE,10.9,51.47,80
2973405,Kalif Raymond,WR,TEN,22.9,28.31,143
4424106,Gunner Olszewski,WR,NE,23.0,29.15,142
4036335,Cedrick Wilson,WR,DAL,43.12,16.77,114
5362,Antonio Gates,TE,None,0.0,0.0,114
1097,Adam Vinatieri,K,None,0.0,0.0,46
2975417,Patrick Ricard,DT,BAL,12.9,0.01,1
14402,Chris Hogan,WR,None,18.8,50.0,155
11307,Jamaal Charles,RB,None,0.0,0.0,173
2578570,Jacoby Brissett,QB,IND,20.58,18.27,49
2574591,Nick Boyle,TE,BAL,30.3,64.73,59
4035115,Albert Okwuegbunam,TE,DEN,23.6,3.49,64
3045225,Jake Butt,TE,DEN,1.5,3.32,107
14269,Dontrelle Inman,WR,WSH,37.3,59.23,122
3061612,Jamal Agnew,WR,DET,22.7,30.27,145
3051308,P.J. Walker,QB,CAR,8.52,36.54,63
3913295,Justin Rohrwasser,K,NE,0.0,0.0,47
3057987,DaeSean Hamilton,WR,DEN,50.8,34.9,106
3124069,Isaiah Ford,WR,MIA,41.6,59.13,116
3728262,Ray-Ray McCloud,WR,PIT,22.2,5.3,146
16809,Garrett Gilbert,QB,DAL,14.52,0.0,54
3932420,Josh Adams,RB,NYJ,33.6,0.0,85
3115328,Jalen Hurd,WR,SF,0.0,0.0,219
15786,Tavon Austin,WR,GB,2.5,0.0,201
3116642,Reggie Bonnafon,RB,CAR,15.7,0.0,112
3929118,Jeff Smith,WR,NYJ,25.2,0.0,135
3932442,Equanimeous St. Brown,WR,GB,21.9,51.57,148
