"RK",TIERS,"PLAYER NAME",TEAM,"BYE WEEK","SOS SEASON","ECR VS. ADP"
"84",8,"Van Jefferson",LAR,"11","5 out of 5 stars","+27"
"85",8,"DeSean Jackson",LAR,"11","5 out of 5 stars","+7"
"86",8,"Tim Patrick",DEN,"11","4 out of 5 stars","+15"
"87",8,"Hunter Renfrow",LV,"8","1 out of 5 stars","+12"
"88",8,"Denzel Mims",NYJ,"6","4 out of 5 stars","0"
"89",8,"Josh Reynolds",TEN,"13","3 out of 5 stars","+14"
"90",8,"Nico Collins",HOU,"10","3 out of 5 stars","-11"
"91",8,"Kadarius Toney",NYG,"10","3 out of 5 stars","-10"
"92",8,"Breshad Perriman",FA,"-","-","-6"
"93",8,"Anthony Miller",HOU,"10","3 out of 5 stars","+5"
"94",8,"James Washington",PIT,"7","2 out of 5 stars","+25"
"95",8,"Rashard Higgins",CLE,"13","1 out of 5 stars","+11"
"96",8,"Amari Rodgers",GB,"13","1 out of 5 stars","+12"
"97",8,"Quintez Cephus",DET,"9","1 out of 5 stars","+10"
"98",8,"Donovan Peoples-Jones",CLE,"13","1 out of 5 stars","-15"
"99",8,"Preston Williams",MIA,"14","3 out of 5 stars","+22"
"100",8,"Kendrick Bourne",NE,"14","4 out of 5 stars","+14"
"101",8,"Zach Pascal",IND,"14","5 out of 5 stars","+11"
"102",8,"Keelan Cole Sr.",NYJ,"6","4 out of 5 stars","+13"
"103",9,"Keke Coutee",FA,"-","-","-10"
"104",9,"Dyami Brown",WAS,"9","3 out of 5 stars","+5"
"105",9,"N'Keal Harry",NE,"14","4 out of 5 stars","+17"
"106",9,"D'Wayne Eskridge",SEA,"9","1 out of 5 stars","+12"
"107",9,"Scotty Miller",TB,"9","2 out of 5 stars","-16"
"108",9,"Tyron Johnson",FA,"-","-","+24"
"109",9,"Travis Fulgham",FA,"-","-","-13"
"110",9,"Josh Palmer",LAC,"7","3 out of 5 stars","-25"
"111",9,"Andy Isabella",ARI,"12","2 out of 5 stars","+35"
"112",9,"Demarcus Robinson",KC,"12","3 out of 5 stars","-22"
"113",9,"Greg Ward",PHI,"14","3 out of 5 stars","+27"
"114",9,"Miles Boykin",BAL,"8","2 out of 5 stars","-"
"115",9,"Byron Pringle",KC,"12","3 out of 5 stars","-26"
"116",9,"Olamide Zaccheaus",ATL,"6","4 out of 5 stars","-21"
"117",9,"Quez Watkins",PHI,"14","3 out of 5 stars","-17"
"118",9,"John Ross",NYG,"10","3 out of 5 stars","-"
"119",9,"Jalen Guyton",LAC,"7","3 out of 5 stars","+4"
"120",10,"Adam Humphries",WAS,"9","3 out of 5 stars","-23"
"121",10,"Tutu Atwell",LAR,"11","5 out of 5 stars","-1"
"122",10,"Cordarrelle Patterson",ATL,"6","4 out of 5 stars","-35"
"123",10,"Deonte Harris",NO,"6","4 out of 5 stars","-19"
"124",10,"Tylan Wallace",BAL,"8","2 out of 5 stars","+9"
"125",10,"Tyler Johnson",TB,"9","2 out of 5 stars","+4"
"126",10,"Collin Johnson",FA,"-","-","-"
"127",10,"Devin Duvernay",BAL,"8","2 out of 5 stars","-"
"128",10,"Steven Sims Jr.",FA,"-","-","-"
"129",10,"Auden Tate",CIN,"10","2 out of 5 stars","-"
"130",10,"Chris Conley",HOU,"10","3 out of 5 stars","-13"
"131",10,"Dede Westbrook",MIN,"7","3 out of 5 stars","-"
"132",10,"Antonio Gandy-Golden",FA,"-","-","-16"
"133",10,"Jalen Hurd",SF,"6","5 out of 5 stars","-2"
"134",10,"Dez Fitzpatrick",FA,"-","-","-7"
"135",10,"Cam Sims",WAS,"9","3 out of 5 stars","-11"
"136",10,"David Moore",CAR,"13","5 out of 5 stars","-34"
"137",10,"Anthony Schwartz",CLE,"13","1 out of 5 stars","-3"
"138",10,"Cornell Powell",FA,"-","-","+13"
"139",10,"Albert Wilson",MIA,"14","3 out of 5 stars","-11"
"140",10,"Ihmir Smith-Marsette",MIN,"7","3 out of 5 stars","-"
"141",10,"Danny Amendola",FA,"-","-","-"
"142",10,"Isaiah McKenzie",BUF,"7","3 out of 5 stars","-"
"143",10,"Willie Snead IV",LV,"8","1 out of 5 stars","+7"
"144",10,"Damiere Byrd",CHI,"10","3 out of 5 stars","-18"
"145",10,"Golden Tate",FA,"-","-","-"
"146",10,"Freddie Swain",SEA,"9","1 out of 5 stars","-"
"147",10,"Cedrick Wilson",DAL,"7","1 out of 5 stars","-"
"148",10,"Mohamed Sanu",SF,"6","5 out of 5 stars","-12"
"149",10,"Larry Fitzgerald",FA,"-","-","-"
