id,name,position,team,total_points,projected_total_points,rank
2977874,Mose Frazier,WR,CAR,0.0,0.0,341
3126075,Spencer Schnell,WR,TB,0.0,0.0,342
3040026,Demarcus Ayers,WR,None,0.0,0.0,343
17205,Freddie Martino,WR,None,0.0,0.0,344
2982809,Carlton Agudosi,WR,None,0.0,0.0,345
2575416,Xavier Rush,WR,None,0.0,0.0,346
15564,Brittan Golden,WR,None,0.0,0.0,347
3116680,Austin Proehl,WR,None,0.0,0.0,348
3886841,Tony Brooks-James,RB,MIN,0.7,0.52,150
2980061,Keon Hatcher,WR,GB,0.0,0.0,349
3056476,Victor Bolden Jr.,WR,DET,0.0,0.0,350
14902,Orson Charles,TE,DEN,0.0,0.0,185
15974,Dion Sims,TE,None,0.0,0.0,186
2971280,Evan Baylis,TE,GB,0.0,0.0,187
3047488,Matt Flanagan,TE,WSH,0.0,0.0,188
3057863,Jason Vander Laan,TE,NO,0.0,0.0,189
14906,James Hanna,TE,None,0.0,0.0,190
2468368,Gabe Holmes,TE,None,0.0,0.0,191
3051400,Jalin Marshall,WR,None,0.0,0.0,351
2971544,Kolby Listenbee,WR,None,0.0,0.0,352
2578394,Kasen Williams,WR,None,0.0,0.0,353
3045472,Sam Rogers,RB,None,0.0,0.0,270
2574545,Quan Bray,WR,None,0.0,0.0,354
10770,Eric Weems,WR,None,0.0,0.0,355
2474890,Mitch Mathews,WR,None,0.0,0.0,356
13218,Arrelious Benn,WR,None,0.0,0.0,357
15360,Griff Whalen,WR,None,0.0,0.0,358
2511952,Jordan Leslie,WR,None,0.0,0.0,359
2579623,Rashawn Scott,WR,None,0.0,0.0,360
2577684,Tanner McEvoy,WR,None,0.0,0.0,361
2971062,Keith Marshall,RB,None,0.0,0.0,271
4421446,Craig Reynolds,RB,ATL,0.0,0.0,272
2978219,Bryce Treggs,WR,None,0.0,0.0,362
3044716,Marquez North,WR,None,0.0,0.0,363
3052662,Keith Ford,RB,GB,0.0,0.0,273
3054970,Chris Thompson,WR,SF,0.0,0.0,364
4329491,Jalen Tolliver,WR,KC,0.0,0.0,365
16313,Brandon Williams,TE,None,0.0,0.0,192
3125253,Braedon Bowman,TE,None,0.0,0.0,193
2982151,Cole Wick,TE,TEN,0.0,0.0,194
2981998,Bryce Williams,TE,None,0.0,0.0,195
14426,Kyle Nelson,TE,SF,0.0,0,196
2586700,Alan Cross,TE,None,0.0,0.0,197
3116384,Carson Meier,TE,ATL,0.0,0.0,198
17169,Ryan Hewitt,TE,None,0.0,0.0,199
2508328,Brian Parker,TE,NO,0.0,1.72,200
3122839,Artavis Scott,WR,IND,0.0,0.0,366
2971588,Jordan Payton,WR,None,0.0,0.0,367
3125354,Hunter Sharp,WR,None,0.0,0.0,368
3932430,Jalen Guyton,WR,LAC,0.0,0.0,369
16875,Jay Prosch,RB,None,0.0,0.0,274
16960,Jeff Janis,WR,None,0.0,0.0,370
2577190,Devin Lucien,WR,None,0.0,0.0,371
3933497,Wendall Williams,WR,None,0.0,0.0,372
3126997,Tom Kennedy,WR,DET,0.0,9.13,373
3124964,Marcus Green,WR,PHI,0.0,0.0,374
2971574,Devin Lewis Fuller,WR,None,0.0,0.0,375
2516957,Kaelin Clay,WR,None,0.0,0.0,376
17032,Bernard Reedy,WR,None,0.0,0.0,377
3123857,Austin Walter,RB,NYG,0.0,0,275
3128251,Simmie Cobbs Jr.,WR,None,0.0,0.0,378
2575381,Keyarris Garrett,WR,None,0.0,0.0,379
2577645,Bradley Marquez,WR,None,0.0,0.0,380
3966261,Anthony Dable,WR,None,0.0,0.0,381
3933568,Davion Davis,WR,MIN,0.0,0.0,382
3045164,Jester Weah,WR,WSH,0.0,1.24,383
3144062,Khari Lee,TE,None,0.0,0.0,201
3134314,Austin Roberts,TE,LAC,0.0,0.0,202
3039705,Beau Sandland,TE,None,0.0,0.0,203
3122103,Kendall Blanton,TE,LAR,0.0,0.0,204
16870,Matt Hazel,WR,None,0.0,0.0,384
2988624,Riley McCarron,WR,None,0.0,0.0,385
2577286,Paul Turner,WR,None,0.0,0.0,386
2515931,Jalston Fowler,RB,None,0.0,0.0,276
3929118,Jeff Smith,WR,NYJ,1.7,0.0,206
3931391,Trenton Irwin,WR,CIN,0.0,0,387
3931763,Michael Clark,WR,None,0.0,0.0,388
3051650,Darvin Kidsy,WR,WSH,0.0,3.13,389
16566,Rashad Ross,WR,None,0.0,0.0,390
2980238,Alonzo Russell,WR,None,0.0,0.0,391
2974590,Ed Eagan,WR,None,0.0,0.0,392
2591718,Marken Michel,WR,PHI,0.0,0.0,393
3060950,Jace Billingsley,WR,None,0.0,0.0,394
2978308,Jaydon Mickens,WR,TB,0.0,2.28,395
2566041,Tre McBride,WR,None,0.0,0.0,396
3049329,Rashard Davis,WR,TEN,2.1,0,205
16922,James Wright,WR,None,0.0,0.0,397
15391,Rod Streater,WR,None,0.0,0.0,398
2578446,Dom Williams,WR,None,0.0,0.0,399
2978216,Darius Powe,WR,None,0.0,0.0,400
15547,Brenton Bersin,WR,None,0.0,0.0,401
2979533,Aaron Burbridge,WR,None,0.0,0.0,402
3047490,Janarion Grant,WR,None,0.0,0.0,403
3039794,James Looney,TE,GB,0.0,0.0,205
